form,reason,interaction_pages
new generation of btk inhibitors,"names a class or a group, not this page's substance (no variant of 'zanubrutinib' and no UNII name for it)",0
nf 902 as,"names a class or a group, not this page's substance (no variant of 'levofuraltadone' and no UNII name for it)",0
nfc 1 anhydrous,"names a class or a group, not this page's substance (no variant of 'fasoracetam' and no UNII name for it)",0
nfc1 anhydrous,"names a class or a group, not this page's substance (no variant of 'fasoracetam' and no UNII name for it)",0
nickelous,ambiguous: 6 pages carry this name and they are not forms of one substance,0
niclosamidum anhydrous,"names a class or a group, not this page's substance (no variant of 'niclosamide' and no UNII name for it)",0
nicorette minis,"names a class or a group, not this page's substance (no variant of 'nicotine' and no UNII name for it)",0
night blooming cereus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
nippas,"names a class or a group, not this page's substance (no variant of 'aminosalicylate' and no UNII name for it)",0
nipruss,"names a class or a group, not this page's substance (no variant of 'sodium nitroprusside' and no UNII name for it)",0
niravam 2 mg orally disintegrating tablets,"names a class or a group, not this page's substance (no variant of 'alprazolam' and no UNII name for it)",0
nitrofurantoinum anhydrous,"names a class or a group, not this page's substance (no variant of 'nitrofurantoin' and no UNII name for it)",0
nitroglycerin tablets,"names a class or a group, not this page's substance (no variant of 'glyceryl trinitrate' and no UNII name for it)",0
nixyn hermes,"names a class or a group, not this page's substance (no variant of 'isonixin' and no UNII name for it)",0
noacs,ambiguous: 3 pages carry this name and they are not forms of one substance,0
nonoxynol 9 usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
noradrenaline as,"names a class or a group, not this page's substance (no variant of 'norepinephrine' and no UNII name for it)",0
norethisteroni acetas,"names a class or a group, not this page's substance (no variant of 'norethindrone acetate c22h28o3' and no UNII name for it)",0
norgestimate containing oral contraceptives,"names a class or a group, not this page's substance (no variant of 'norgestimate e' and no UNII name for it)",0
normal immunoglobulins,"names a class or a group, not this page's substance (no variant of 'human immunoglobulin g' and no UNII name for it)",0
norvasc 10 mg tablets,"names a class or a group, not this page's substance (no variant of 'amlodipine' and no UNII name for it)",0
novel oral anticoagulants,ambiguous: 3 pages carry this name and they are not forms of one substance,0
nut grass,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
ofev capsules,"names a class or a group, not this page's substance (no variant of 'nintedanib' and no UNII name for it)",0
oligomeric proanthocyanidins,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
oligosaccharides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
ombipepimut s,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
omefas,ambiguous: 2 pages carry this name and they are not forms of one substance,0
omega 3 fatty acid ethyl esters,"names a class or a group, not this page's substance (no variant of 'ethyl docosahexaenoate' and no UNII name for it)",0
omega 3 fatty acids ethyl esters,ambiguous: 2 pages carry this name and they are not forms of one substance,0
omega 3 free fatty acids,"names a class or a group, not this page's substance (no variant of 'omega 3 carboxylic acids' and no UNII name for it)",0
omega 3 marine triglycerides,"names a class or a group, not this page's substance (no variant of 'ethyl docosahexaenoate' and no UNII name for it)",0
omega 3 phospholipids,"names a class or a group, not this page's substance (no variant of 'omega 3 fatty acids' and no UNII name for it)",0
omega 3 polyunsaturated fatty acids,ambiguous: 6 pages carry this name and they are not forms of one substance,0
omega 3 polyunsaturates,"names a class or a group, not this page's substance (no variant of 'omega 3 fatty acids' and no UNII name for it)",0
omega 3 triglycerides,"names a class or a group, not this page's substance (no variant of 'omega 3 fatty acids' and no UNII name for it)",0
omnes,"names a class or a group, not this page's substance (no variant of 'nifuratel' and no UNII name for it)",0
omnic ocas,"names a class or a group, not this page's substance (no variant of 'tamsulosin' and no UNII name for it)",0
once daily tacrolimus,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",0
oncolysin s,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
oncotcs,"names a class or a group, not this page's substance (no variant of 'vincristine' and no UNII name for it)",0
ono 2333ms,"names a class or a group, not this page's substance (no variant of 'ono 2333' and no UNII name for it)",0
opulis,"names a class or a group, not this page's substance (no variant of 'desloratadine' and no UNII name for it)",0
oral octreotide capsules,"names a class or a group, not this page's substance (no variant of 'octreotide' and no UNII name for it)",0
oristar hcshs,"names a class or a group, not this page's substance (no variant of 'hydrocortisone hemisuccinate anhydrous' and no UNII name for it)",0
oristar sgs,"names a class or a group, not this page's substance (no variant of 'gualenic acid' and no UNII name for it)",0
ornithogallum umbellatum flos,"names a class or a group, not this page's substance (no variant of 'ornithogalum umbellatum flowering top' and no UNII name for it)",0
orthozyme cd 5 plus,"names a class or a group, not this page's substance (no variant of 'zolimomab aritox' and no UNII name for it)",0
oseltamiviri phosphas,"names a class or a group, not this page's substance (no variant of 'oseltamivir' and no UNII name for it)",0
otx 015 anhydrous,"names a class or a group, not this page's substance (no variant of 'birabresib' and no UNII name for it)",0
otx015 anhydrous,"names a class or a group, not this page's substance (no variant of 'birabresib' and no UNII name for it)",0
ovary drops,"names a class or a group, not this page's substance (no variant of 'bos taurus ovary' and no UNII name for it)",0
oxidized cellulose pads,"names a class or a group, not this page's substance (no variant of 'cellulose oxidized' and no UNII name for it)",0
oxytetracyclinum dihydras,"names a class or a group, not this page's substance (no variant of 'oxytetracycline anhydrous' and no UNII name for it)",0
oyavas,"names a class or a group, not this page's substance (no variant of 'bevacizumab' and no UNII name for it)",0
p a s,"names a class or a group, not this page's substance (no variant of 'aminosalicylate' and no UNII name for it)",0
paenibacillus macerans,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
palmdrol prodes,"names a class or a group, not this page's substance (no variant of 'palmidrol' and no UNII name for it)",0
panax quinquefolius,"names a class or a group, not this page's substance (no variant of 'american ginseng' and no UNII name for it)",0
parabis,"names a class or a group, not this page's substance (no variant of 'dichlorophen' and no UNII name for it)",0
paracoccus denitrificans,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
parathyroid drops,"names a class or a group, not this page's substance (no variant of 'enterobius vermicularis' and no UNII name for it)",0
parathyroid gland suis,"names a class or a group, not this page's substance (no variant of 'sus scrofa parathyroid gland' and no UNII name for it)",0
pariet 20 mg dr tabs,"names a class or a group, not this page's substance (no variant of 'rabeprazole' and no UNII name for it)",0
parietaria officinalis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
parp inhibitors,ambiguous: 8 pages carry this name and they are not forms of one substance,0
pcsk9 inhibitors,ambiguous: 2 pages carry this name and they are not forms of one substance,0
pcsk9 therapies,"names a class or a group, not this page's substance (no variant of 'alirocumab' and no UNII name for it)",0
pd 1 inhibitors,ambiguous: 2 pages carry this name and they are not forms of one substance,0
pediococcus pentosaceus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
peg cs,"names a class or a group, not this page's substance (no variant of 'triethylene glycol' and no UNII name for it)",0
peg els,"names a class or a group, not this page's substance (no variant of 'triethylene glycol' and no UNII name for it)",0
peltopepimut s,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
pentamidini isetionas,"names a class or a group, not this page's substance (no variant of 'pentamidine' and no UNII name for it)",0
pentasa tablets,"names a class or a group, not this page's substance (no variant of 'mesalazine' and no UNII name for it)",0
pentatropis capensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
pentavalent antimonials,"names a class or a group, not this page's substance (no variant of 'meglumine antimonate' and no UNII name for it)",0
peptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
perflutren human albumin microspheres,"names a class or a group, not this page's substance (no variant of 'albumin aggregated' and no UNII name for it)",0
perioglas,"names a class or a group, not this page's substance (no variant of 'calcium sodium phosphosilicate' and no UNII name for it)",0
perixis,"names a class or a group, not this page's substance (no variant of 'tacrolimus anhydrous' and no UNII name for it)",0
perseris,"names a class or a group, not this page's substance (no variant of 'risperidone' and no UNII name for it)",0
pexipepimut s,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
phellinus linteus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
phenolics,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
phenols,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
phillips magnesia tablets,"names a class or a group, not this page's substance (no variant of 'magnesium hydroxide structure vthjteirlnzdev' and no UNII name for it)",0
phosphate salts,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
phosphatidylcholine usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
phosphodiesterase 5 inhibitors,"names a class or a group, not this page's substance (no variant of 'sildenafil' and no UNII name for it)",0
photrexa viscous,"names a class or a group, not this page's substance (no variant of 'flavin mononucleotide' and no UNII name for it)",0
phragmites,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
phycocyanins,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
phyllanthus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
physostigmini salicylas,"names a class or a group, not this page's substance (no variant of 'physostigmine' and no UNII name for it)",0
picosulfate sodium anhydrous,"names a class or a group, not this page's substance (no variant of 'picosulfuric acid' and no UNII name for it)",0
picrotoxinum hpus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
pilocarpini nitras,"names a class or a group, not this page's substance (no variant of 'pilocarpine' and no UNII name for it)",0
pineal drops,"names a class or a group, not this page's substance (no variant of 'sus scrofa pineal gland' and no UNII name for it)",0
pinus sylvestris,ambiguous: 2 pages carry this name and they are not forms of one substance,0
pix lithanthracis,"names a class or a group, not this page's substance (no variant of 'coal tar' and no UNII name for it)",0
plantago ovata forssk husks,"names a class or a group, not this page's substance (no variant of 'plantago seed' and no UNII name for it)",0
plantago ovata husks,"names a class or a group, not this page's substance (no variant of 'plantago seed' and no UNII name for it)",0
platinum drugs,"names a class or a group, not this page's substance (no variant of 'cisplatin' and no UNII name for it)",0
pleyris,"names a class or a group, not this page's substance (no variant of 'progesterone' and no UNII name for it)",0
polyethylene glycols,"names a class or a group, not this page's substance (no variant of 'triethylene glycol' and no UNII name for it)",0
polygel cs,"names a class or a group, not this page's substance (no variant of 'carbomer 940' and no UNII name for it)",0
polymethoxylated flavones,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
polyphenols,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
polypodium leucotomos,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
polyunsaturated fatty acids,"names a class or a group, not this page's substance (no variant of 'omega 3 fatty acids' and no UNII name for it)",0
potassium arsenite anhydrous,"names a class or a group, not this page's substance (no variant of 'arsenous acid' and no UNII name for it)",0
potassium citrate usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
praxis,"names a class or a group, not this page's substance (no variant of 'indoprofen' and no UNII name for it)",0
praying mantis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
prebiotics,"names a class or a group, not this page's substance (no variant of 'inulin' and no UNII name for it)",0
prednisolone anhydrous,ambiguous: 9 pages carry this name and they are not forms of one substance,0
prednisolone usp rs,ambiguous: 9 pages carry this name and they are not forms of one substance,0
prednisoloni acetas,"names a class or a group, not this page's substance (no variant of 'prednisolone acetate' and no UNII name for it)",0
prednisoloni natrii phosphas,"names a class or a group, not this page's substance (no variant of 'prednisolone 21 phosphate' and no UNII name for it)",0
prelis,"names a class or a group, not this page's substance (no variant of 'metoprolol' and no UNII name for it)",0
prescription omega 3 acid ethyl esters,"names a class or a group, not this page's substance (no variant of 'ethyl docosahexaenoate' and no UNII name for it)",0
prescription omega 3 fatty acids,"names a class or a group, not this page's substance (no variant of 'omega 3 fatty acids' and no UNII name for it)",0
prickly pear cactus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
prilosec otc tablets,"names a class or a group, not this page's substance (no variant of 'omeprazole' and no UNII name for it)",0
primaquini diphosphas,"names a class or a group, not this page's substance (no variant of 'primaquine' and no UNII name for it)",0
primobolan s,"names a class or a group, not this page's substance (no variant of 'methenolone acetate c22h32o3' and no UNII name for it)",0
probiotics,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
proline rich peptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
propylis hydroxybenzoas,"names a class or a group, not this page's substance (no variant of 'propylparaben' and no UNII name for it)",0
prostate drops,"names a class or a group, not this page's substance (no variant of 'bos taurus prostate gland' and no UNII name for it)",0
protamini sulfas,"names a class or a group, not this page's substance (no variant of 'protamine sulfate' and no UNII name for it)",0
proteoglycans,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
protonix 40 mg delayed release tablets,"names a class or a group, not this page's substance (no variant of 'pantoprazole' and no UNII name for it)",0
protonix pantoprazole sodium delayed release tablets,"names a class or a group, not this page's substance (no variant of 'pantoprazole' and no UNII name for it)",0
prunus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
prussian blue insoluble capsules,"names a class or a group, not this page's substance (no variant of 'hydrogen cyanide' and no UNII name for it)",0
pseudomonas calcis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
pseudomonas flourescens,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
pulsatilla nigricans,"names a class or a group, not this page's substance (no variant of 'anemone pratensis' and no UNII name for it)",0
pungent compounds,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
punicosides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
pyranteli embonas,"names a class or a group, not this page's substance (no variant of 'pyrantel' and no UNII name for it)",0
pyreses,"names a class or a group, not this page's substance (no variant of 'dihydroxyaluminum gluconate' and no UNII name for it)",0
pyridoxal phosphate anhydrous,ambiguous: 3 pages carry this name and they are not forms of one substance,0
quadrafos,"names a class or a group, not this page's substance (no variant of 'sodium polyphosphate' and no UNII name for it)",0
quinidex extentabs,"names a class or a group, not this page's substance (no variant of 'quinidine' and no UNII name for it)",0
quinidini sulfas,"names a class or a group, not this page's substance (no variant of 'quinidine' and no UNII name for it)",0
r 12 563 as,"names a class or a group, not this page's substance (no variant of 'dexamisole' and no UNII name for it)",0
r 15 403 as,"names a class or a group, not this page's substance (no variant of 'difenoxin' and no UNII name for it)",0
r 16 470 as,"names a class or a group, not this page's substance (no variant of 'dexetimide' and no UNII name for it)",0
r 22 700 as,"names a class or a group, not this page's substance (no variant of 'rodocaine' and no UNII name for it)",0
r 28 096 as,"names a class or a group, not this page's substance (no variant of 'carnidazole' and no UNII name for it)",0
rabies immunoglobulins,"names a class or a group, not this page's substance (no variant of 'human rabies virus immune globulin' and no UNII name for it)",0
rabivax s,"names a class or a group, not this page's substance (no variant of 'rabies vaccine' and no UNII name for it)",0
racemetirosine s,"names a class or a group, not this page's substance (no variant of 'metirosine' and no UNII name for it)",0
racemoramide s,ambiguous: 2 pages carry this name and they are not forms of one substance,0
radiocaps,"names a class or a group, not this page's substance (no variant of 'sodium iodide 131i' and no UNII name for it)",0
ramipril10 mg capsules,"names a class or a group, not this page's substance (no variant of 'ramipril' and no UNII name for it)",0
rapalimus,"names a class or a group, not this page's substance (no variant of 'sirolimus' and no UNII name for it)",0
raspberry ketones,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
rathyronine hydrochloride s,"names a class or a group, not this page's substance (no variant of 'liothyronine' and no UNII name for it)",0
rathyronine sodium s,"names a class or a group, not this page's substance (no variant of 'liothyronine' and no UNII name for it)",0
rauvolfia canescens,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
rauvolfia yunnanensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
razoxane hydrochloride s,"names a class or a group, not this page's substance (no variant of 'dexrazoxane' and no UNII name for it)",0
readi cat2 smoothies,"names a class or a group, not this page's substance (no variant of 'barium sulfate' and no UNII name for it)",0
rebaudioside a usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
rectum drops,"names a class or a group, not this page's substance (no variant of 'chaetomium globosum' and no UNII name for it)",0
refresh tears,"names a class or a group, not this page's substance (no variant of 'carboxymethylcellulose sodium 0 7 carboxymethyl substitution per saccharide 600 mpa s at 2' and no UNII name for it)",0
reovirus,"names a class or a group, not this page's substance (no variant of 'pelareorep' and no UNII name for it)",0
requip tablets,"names a class or a group, not this page's substance (no variant of 'ropinirole' and no UNII name for it)",0
resolaris,"names a class or a group, not this page's substance (no variant of 'atyr 1940' and no UNII name for it)",0
resomer x 206 s,"names a class or a group, not this page's substance (no variant of 'polydioxanone' and no UNII name for it)",0
restas,"names a class or a group, not this page's substance (no variant of 'flutoprazepam' and no UNII name for it)",0
resveratrol conjugates,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
rfviii fs,"names a class or a group, not this page's substance (no variant of 'octocog alfa' and no UNII name for it)",0
rhabdosia rubescens,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
rhaponticum carthamoides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
rhenium 186 nanoliposomes,"names a class or a group, not this page's substance (no variant of 'rhenium re 186 obisbemeda' and no UNII name for it)",0
rhgus,"names a class or a group, not this page's substance (no variant of 'vestronidase alfa' and no UNII name for it)",0
rhodapon ols,"names a class or a group, not this page's substance (no variant of '2 ethylhexyl hydrogen sulfate' and no UNII name for it)",0
rhus toxicondendron 1m hpus,"names a class or a group, not this page's substance (no variant of 'toxicodendron pubescens leaf' and no UNII name for it)",0
ribavirin biopartners,"names a class or a group, not this page's substance (no variant of 'ribavirin c8h12n4o5' and no UNII name for it)",0
risedronate sodium anhydrous,"names a class or a group, not this page's substance (no variant of 'risedronic acid' and no UNII name for it)",0
ro sparks,"names a class or a group, not this page's substance (no variant of 'sildenafil' and no UNII name for it)",0
rooibos,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
room temperature stored platelets,"names a class or a group, not this page's substance (no variant of 'platelets' and no UNII name for it)",0
rubia yunnanensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
rubus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
ruscus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
rwj 270201 162 anhydrous,"names a class or a group, not this page's substance (no variant of 'peramivir anhydrous' and no UNII name for it)",0
saccharomyces,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
saccharomyces cerevisiae peptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
sacral drops,"names a class or a group, not this page's substance (no variant of 'bos taurus spinal cord' and no UNII name for it)",0
salbutamoli sulfas,"names a class or a group, not this page's substance (no variant of 'salbutamol' and no UNII name for it)",0
salicylic acid usp rs,ambiguous: 9 pages carry this name and they are not forms of one substance,0
salicylicum acidum hpus,ambiguous: 9 pages carry this name and they are not forms of one substance,0
salidrosides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
salix vitellina flos,ambiguous: 2 pages carry this name and they are not forms of one substance,0
saponins,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
sar lis,"names a class or a group, not this page's substance (no variant of 'insulin lispro' and no UNII name for it)",0
sarcolacticum acidum hpus,ambiguous: 4 pages carry this name and they are not forms of one substance,0
schisandrins,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
scleranthus annus,"names a class or a group, not this page's substance (no variant of 'scleranthus annuus flowering top' and no UNII name for it)",0
seesorb 101s,"names a class or a group, not this page's substance (no variant of 'sulisobenzone' and no UNII name for it)",0
selective estrogen receptor modulators,ambiguous: 2 pages carry this name and they are not forms of one substance,0
senna glycosides,"names a class or a group, not this page's substance (no variant of 'senna leaf' and no UNII name for it)",0
sennosides a and b acids,ambiguous: 4 pages carry this name and they are not forms of one substance,0
serenoa repens,"names a class or a group, not this page's substance (no variant of 'saw palmetto' and no UNII name for it)",0
serepress,"names a class or a group, not this page's substance (no variant of 'ketanserin' and no UNII name for it)",0
seretide diskus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
serevent diskus,"names a class or a group, not this page's substance (no variant of 'salmeterol' and no UNII name for it)",0
seriphos,"names a class or a group, not this page's substance (no variant of 'dexfosfoserine' and no UNII name for it)",0
sete sangrias,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
setous,"names a class or a group, not this page's substance (no variant of 'zotepine' and no UNII name for it)",0
sevelamer anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
shp465 mixed amphetamine salts,"names a class or a group, not this page's substance (no variant of 'amfetamine' and no UNII name for it)",0
silicone gel 1 scar sheets,"names a class or a group, not this page's substance (no variant of 'cyclomethicone' and no UNII name for it)",0
siliphos,"names a class or a group, not this page's substance (no variant of 'silybin' and no UNII name for it)",0
silver nanoparticles,ambiguous: 2 pages carry this name and they are not forms of one substance,0
silybin usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
simethicone antigas,"names a class or a group, not this page's substance (no variant of 'dimethicone unspecified' and no UNII name for it)",0
sinapis arvensis flos,ambiguous: 3 pages carry this name and they are not forms of one substance,0
sinapis arvensis flos hpus,ambiguous: 3 pages carry this name and they are not forms of one substance,0
sinos,"names a class or a group, not this page's substance (no variant of 'cyclopentamine' and no UNII name for it)",0
sinus drops,"names a class or a group, not this page's substance (no variant of 'sinusitisinum' and no UNII name for it)",0
small intestine drops,"names a class or a group, not this page's substance (no variant of 'bos taurus large intestine' and no UNII name for it)",0
snf2 dentifrices,"names a class or a group, not this page's substance (no variant of 'stannous fluoride f2sn' and no UNII name for it)",0
sodium acetate anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
sodium bicarbonate component of baros,"names a class or a group, not this page's substance (no variant of 'sodium bicarbonate chnao3' and no UNII name for it)",0
sodium ceftriaxone anhydrous,"names a class or a group, not this page's substance (no variant of 'ceftriaxone' and no UNII name for it)",0
sodium citrate hydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
sodium glucose cotransporter 2 inhibitors,ambiguous: 2 pages carry this name and they are not forms of one substance,0
sodium glycerophosphate anhydrous,"names a class or a group, not this page's substance (no variant of 'glyceryl phosphate' and no UNII name for it)",0
sodium hyaluronate eye drops,"names a class or a group, not this page's substance (no variant of 'hyaluronate' and no UNII name for it)",0
sodium p a s,"names a class or a group, not this page's substance (no variant of 'aminosalicylate' and no UNII name for it)",0
sodium phosphate dibasic anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
sodium phosphate monobasic anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
sodium phosphates,"names a class or a group, not this page's substance (no variant of 'sodium phosphate monobasic' and no UNII name for it)",0
sodium picosulfate anhydrous,"names a class or a group, not this page's substance (no variant of 'picosulfuric acid' and no UNII name for it)",0
sodium picosulphate anhydrous,"names a class or a group, not this page's substance (no variant of 'picosulfuric acid' and no UNII name for it)",0
sodium stibogluconate anhydrous,"names a class or a group, not this page's substance (no variant of 'stibogluconic acid' and no UNII name for it)",0
sodium succinate anhydrous,"names a class or a group, not this page's substance (no variant of 'monosodium succinate' and no UNII name for it)",0
sodium sulfacetamide anhydrous,"names a class or a group, not this page's substance (no variant of 'sulfacetamide' and no UNII name for it)",0
sodium sulfate anhydrous,ambiguous: 3 pages carry this name and they are not forms of one substance,0
sodium sulfate anhydrous usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
sodium sulphate anhydrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
sodium tetraborate anhydrous,"names a class or a group, not this page's substance (no variant of 'sodium borate' and no UNII name for it)",0
sodium thiosulphate anhydrous,"names a class or a group, not this page's substance (no variant of 'sodium thiosulfate' and no UNII name for it)",0
solar plexus drops,"names a class or a group, not this page's substance (no variant of 'bos taurus solar plexus' and no UNII name for it)",0
something analogous,"names a class or a group, not this page's substance (no variant of 'diphenhydramine' and no UNII name for it)",0
sortis,"names a class or a group, not this page's substance (no variant of 'atorvastatin' and no UNII name for it)",0
soy germ isoflavones,"names a class or a group, not this page's substance (no variant of 'soy isoflavones' and no UNII name for it)",0
soy unsaponifiables,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
soya isoflavones,"names a class or a group, not this page's substance (no variant of 'soy isoflavones' and no UNII name for it)",0
soybean isoflavoues,"names a class or a group, not this page's substance (no variant of 'soy isoflavones' and no UNII name for it)",0
spanish moss,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
spantholobus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
spatholobus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
spatholobus suberectus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
sphaerococcus rigidus,"names a class or a group, not this page's substance (no variant of 'agar' and no UNII name for it)",0
spilanthes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
spinal cord drops,"names a class or a group, not this page's substance (no variant of 'bos taurus spinal cord' and no UNII name for it)",0
split gill fungus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
stannous,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
stearic acid usp rs,ambiguous: 3 pages carry this name and they are not forms of one substance,0
sterile water for injections,"names a class or a group, not this page's substance (no variant of 'aqua' and no UNII name for it)",0
stomach drops,"names a class or a group, not this page's substance (no variant of 'tripe' and no UNII name for it)",0
streptococcus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
streptococcus rattus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
streptomyces griseoflavus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
streptomycini sulfas,"names a class or a group, not this page's substance (no variant of 'streptomycin' and no UNII name for it)",0
succinic acid usp rs,ambiguous: 3 pages carry this name and they are not forms of one substance,0
succinicum acidum hpus,ambiguous: 3 pages carry this name and they are not forms of one substance,0
suglat tablets,"names a class or a group, not this page's substance (no variant of 'ipragliflozin' and no UNII name for it)",0
sulferrous,"names a class or a group, not this page's substance (no variant of 'ferrous sulfate h14feo11s' and no UNII name for it)",0
sulphur hexafluoride microbubbles,"names a class or a group, not this page's substance (no variant of 'sulfur hexafluoride' and no UNII name for it)",0
sulphur hydrogenisatum hpus,ambiguous: 6 pages carry this name and they are not forms of one substance,0
superparamagnetic iron oxide nanoparticles,"names a class or a group, not this page's substance (no variant of 'ferumoxytol' and no UNII name for it)",0
superpotent topical steroids,"names a class or a group, not this page's substance (no variant of 'clobetasol propionate' and no UNII name for it)",0
sweetener 4g s,ambiguous: 2 pages carry this name and they are not forms of one substance,0
tagetes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
takus,"names a class or a group, not this page's substance (no variant of 'ceruletide' and no UNII name for it)",0
tallow hydrogenated fatty acids,"names a class or a group, not this page's substance (no variant of 'stearic acid' and no UNII name for it)",0
tamoxifeni citras,"names a class or a group, not this page's substance (no variant of 'tamoxifen' and no UNII name for it)",0
tartaric acid usp rs,ambiguous: 4 pages carry this name and they are not forms of one substance,0
tartaricum acidum hpus,ambiguous: 4 pages carry this name and they are not forms of one substance,0
taxillus chinensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
technegas,"names a class or a group, not this page's substance (no variant of 'technetium tc 99m' and no UNII name for it)",0
technetium 99mtc technegas,"names a class or a group, not this page's substance (no variant of 'technetium tc 99m' and no UNII name for it)",0
tecnocris,"names a class or a group, not this page's substance (no variant of 'vincristine' and no UNII name for it)",0
tenofoviri disoproxili fumaras,"names a class or a group, not this page's substance (no variant of 'tenofovir disoproxil' and no UNII name for it)",0
terpenoids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
testosteroni enantas,"names a class or a group, not this page's substance (no variant of 'testosterone enanthate' and no UNII name for it)",0
testosteroni propionas,"names a class or a group, not this page's substance (no variant of 'testosterone propionate' and no UNII name for it)",0
