page_a,page_b,why_unresolved,evidence
K1:SW3H1USR4Q,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Ladostigil"", ""b"": ""TARTARIC ACID"", ""inchikey_child"": ""LHXOCOHMBFOVJS-OAHLLOKOSA-N"", ""inchikey_parent"": ""FEWJPZIEWOKRBE-JCYAYHJZSA-N"", ""name_child"": ""ladostigil"", ""name_parent"": ""tartaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:SZH16H44UY,K2:AJBZENLMTKDAEK-UHFFFAOYSA-N,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Juniper Berry Oil"", ""b"": ""Calendula"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": ""AJBZENLMTKDAEK-UHFFFAOYSA-N"", ""name_a"": ""juniper berry oil"", ""name_b"": ""calendula"", ""origin"": ""slug-collision:juniper-berry-oil"", ""unii_a"": ""SZH16H44UY"", ""unii_b"": null}"
K1:T42NAD2KHC,K1:R4R8J0Q44B,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Gluconic Acid"", ""b"": ""Magnesium Gluconate"", ""inchikey_child"": ""HJWFTNWQKDPLAS-SYAJEJNSSA-L"", ""inchikey_parent"": ""RGHNJXZEOKUKBD-SQOUGZDYSA-N"", ""name_child"": ""magnesium"", ""name_parent"": ""gluconic acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:T6HE85WN0Q,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:F3F6208UMT"", ""K1:T6HE85WN0Q""], ""origin"": ""suspected-nominal:pegulicianine""}"
K1:T6HE85WN0Q,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:T6HE85WN0Q"", ""K1:F3F6208UMT""], ""origin"": ""slug-collision:pegulicianine""}"
K1:TO0PAT081I,K1:B035PIS86W,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""DIETHYLAMINE"", ""b"": ""Dobesilic Acid"", ""inchikey_child"": ""IKQCSJBQLWJEPU-UHFFFAOYSA-N"", ""inchikey_parent"": ""HPNMFZURTQLUMO-UHFFFAOYSA-N"", ""name_child"": ""dobesilic acid"", ""name_parent"": ""diethylamine"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:TT0V5JLG5B,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:TT0V5JLG5B"", ""K1:K86ENL12I5""], ""origin"": ""suspected-nominal:avacincaptad pegol""}"
K1:TT0V5JLG5B,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:K86ENL12I5"", ""K1:TT0V5JLG5B""], ""origin"": ""slug-collision:avacincaptad-pegol""}"
K1:TU1X77K34Q,K1:3KX376GY7L,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Glutamic acid"", ""b"": ""ARGININE GLUTAMATE"", ""inchikey_child"": ""RVEWUBJVAHOGKA-WOYAITHZSA-N"", ""inchikey_parent"": ""WHUUTDBJXJRKMK-VKHMYHEASA-N"", ""name_child"": ""arginine"", ""name_parent"": ""glutamic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:TU7HW0W0QT,K1:3B8D35Y7S4,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Lactic Acid, Dl"", ""b"": ""Compound solution of sodium lactate"", ""inchikey_child"": ""NGSFWBMYFKHRBD-UHFFFAOYSA-M"", ""inchikey_parent"": ""JVTAAEKCZFNVCJ-UHFFFAOYSA-N"", ""name_child"": ""compound solution of"", ""name_parent"": ""lactic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:U1B11I423Z,K1:R4R8J0Q44B,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Gluconic Acid"", ""b"": ""Ferrous Gluconate"", ""inchikey_child"": ""OKGNXSFAYMSVNN-SYAJEJNSSA-L"", ""inchikey_parent"": ""RGHNJXZEOKUKBD-SQOUGZDYSA-N"", ""name_child"": ""ferrous"", ""name_parent"": ""gluconic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:U38V3ZVV3V,K1:91O4LML611,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Ferric Cation"", ""b"": ""Ferric Chloride"", ""inchikey_child"": ""RBTARNINKXHZNM-UHFFFAOYSA-K"", ""inchikey_parent"": ""VTLYFUHAOXGGBS-UHFFFAOYSA-N"", ""name_child"": ""ferric"", ""name_parent"": ""ferric cation"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:V1XJQ704R4,K1:8CBV67279L,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Cupric Cation"", ""b"": ""Cupric Oxide"", ""inchikey_child"": ""KKCXRELNMOYFLS-UHFFFAOYSA-N"", ""inchikey_parent"": ""JPVYNHNXODAKFH-UHFFFAOYSA-N"", ""name_child"": ""cupric"", ""name_parent"": ""cupric cation"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:V7OK6J19HQ,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:V7OK6J19HQ"", ""K1:RH248G8V27""], ""origin"": ""slug-collision:gadopentetate-dimeglumine""}"
K1:V867Q8X3ZD,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Diethylcarbamazine"", ""b"": ""Anhydrous Citric Acid"", ""inchikey_child"": ""RCKMWOKWVGPNJF-UHFFFAOYSA-N"", ""inchikey_parent"": ""KRKNYBCHXYNGOX-UHFFFAOYSA-N"", ""name_child"": ""diethylcarbamazine"", ""name_parent"": ""anhydrous citric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:V99T50803M,K1:J3TZF807X5,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Malic Acid"", ""b"": ""Sunitinib"", ""inchikey_child"": ""WINHZLLDWRZWRT-ATVHPVEESA-N"", ""inchikey_parent"": ""BJEPYKJPYRNKOW-REOHCLBHSA-N"", ""name_child"": ""sunitinib"", ""name_parent"": ""malic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:W108RK810P,K1:R4R8J0Q44B,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Gluconic Acid"", ""b"": ""FERRIC GLUCONATE TRIHYDRATE"", ""inchikey_child"": ""QUIAVNOOCZTWEL-AGRODQNPSA-K"", ""inchikey_parent"": ""RGHNJXZEOKUKBD-SQOUGZDYSA-N"", ""name_child"": ""ferric"", ""name_parent"": ""gluconic acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:W53L6FE61V,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""MALEIC ACID"", ""b"": ""Methylergometrine"", ""inchikey_child"": ""UNBRKDKAWYKMIV-QWQRMKEZSA-N"", ""inchikey_parent"": ""VZCYOOQTPOCHFL-UPHRSURJSA-N"", ""name_child"": ""methylergometrine"", ""name_parent"": ""maleic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:W6HS99O8ZO,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""TARTARIC ACID"", ""b"": ""Varenicline"", ""inchikey_child"": ""JQSHBVHOMNKWFT-DTORHVGOSA-N"", ""inchikey_parent"": ""FEWJPZIEWOKRBE-JCYAYHJZSA-N"", ""name_child"": ""varenicline"", ""name_parent"": ""tartaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:WHE7A56U7K,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""TARTARIC ACID"", ""b"": ""Tolterodine"", ""inchikey_child"": ""OOGJQPCLVADCPB-HXUWFJFHSA-N"", ""inchikey_parent"": ""FEWJPZIEWOKRBE-JCYAYHJZSA-N"", ""name_child"": ""tolterodine"", ""name_parent"": ""tartaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:WZB719DDER,K4:chromic,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""Chromic Bromide"", ""b"": ""Chromic"", ""inchikey_a"": ""UZDWIWGMKWZEPE-UHFFFAOYSA-K"", ""inchikey_b"": null, ""normalised"": ""chromic"", ""origin"": ""name:chromic"", ""unii_a"": ""WZB719DDER"", ""unii_b"": null}"
K1:X49220T18G,K1:88XHZ13131,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Fumaric Acid"", ""b"": ""Ketotifen"", ""inchikey_child"": ""ZCVMWBYGMWKGHF-UHFFFAOYSA-N"", ""inchikey_parent"": ""VZCYOOQTPOCHFL-OWOJBTEDSA-N"", ""name_child"": ""ketotifen"", ""name_parent"": ""fumaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:XG9ARL6P25,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:U93HYZ4QU8"", ""K1:XG9ARL6P25""], ""origin"": ""suspected-nominal:plozasiran""}"
K1:XG9ARL6P25,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:XG9ARL6P25"", ""K1:U93HYZ4QU8""], ""origin"": ""slug-collision:plozasiran""}"
K1:XM33Q67UVH,K1:5WBR90FN3H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Fosveset"", ""b"": ""GADOFOSVESET TRISODIUM"", ""inchikey_child"": ""PIZALBORPSCYJU-QSQMUHTISA-H"", ""inchikey_parent"": ""NZLPWFTXPYJYSS-AREMUKBSSA-N"", ""name_child"": ""gadofosveset"", ""name_parent"": ""fosveset"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:XWV9Z12C1C,K1:MG976Z29OM,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Glyceryl Phosphate"", ""b"": ""CALCIUM GLYCEROPHOSPHATE"", ""inchikey_child"": ""UHHRFSOMMCWGSO-UHFFFAOYSA-L"", ""inchikey_parent"": ""XYZZKVRWGOWVGO-UHFFFAOYSA-N"", ""name_child"": ""calcium glycerophosphate"", ""name_parent"": ""glyceryl"", ""origin"": ""suspected-nominal:glycerophosphate"", ""relationship"": ""target_is_salt""}"
K1:XWV9Z12C1C,K1:WWH06G87W6,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Glyceryl 2-PHOSPHATE"", ""b"": ""CALCIUM GLYCEROPHOSPHATE"", ""inchikey_child"": ""UHHRFSOMMCWGSO-UHFFFAOYSA-L"", ""inchikey_parent"": ""DHCLVCXQIBBOPH-UHFFFAOYSA-N"", ""name_child"": ""calcium glycerophosphate"", ""name_parent"": ""glyceryl 2"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:XZA9HY6Z98,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""MALEIC ACID"", ""b"": ""Methysergide"", ""inchikey_child"": ""KPJZHOPZRAFDTN-ZRGWGRIASA-N"", ""inchikey_parent"": ""VZCYOOQTPOCHFL-UPHRSURJSA-N"", ""name_child"": ""methysergide"", ""name_parent"": ""maleic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:Y6O7T4G8P9,K1:ETJ7Z6XBU4,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""SILICON DIOXIDE"", ""b"": ""Hydrated Silica"", ""inchikey_child"": ""LRCFXGAMWKDGLA-UHFFFAOYSA-N"", ""inchikey_parent"": ""VYPSYNLAJGMNEJ-UHFFFAOYSA-N"", ""name_child"": ""hydrated silica"", ""name_parent"": ""silicon dioxide"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:YG391PK0CC,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:10R1YC115A"", ""K1:YG391PK0CC""], ""origin"": ""suspected-nominal:zilucoplan""}"
K1:YG391PK0CC,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:YG391PK0CC"", ""K1:10R1YC115A""], ""origin"": ""slug-collision:zilucoplan""}"
K1:YHP6YLT61T,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""MALEIC ACID"", ""b"": ""Prochlorperazine"", ""inchikey_child"": ""WIKYUJGCLQQFNW-UHFFFAOYSA-N"", ""inchikey_parent"": ""VZCYOOQTPOCHFL-UPHRSURJSA-N"", ""name_child"": ""prochlorperazine"", ""name_parent"": ""maleic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:Z56D82TX8V,K1:30KYC7MIAI,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Aspartic acid"", ""b"": ""FERROUS ASPARTATE"", ""inchikey_child"": ""KKPUODLFBBWJPH-DKWTVANSSA-L"", ""inchikey_parent"": ""CKLJMWTZIZZHCS-REOHCLBHSA-N"", ""name_child"": ""ferrous"", ""name_parent"": ""aspartic acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:Z8E46IA45W,K3:CHEMBL2109130,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Technetium TC-99M Albumin Aggregated"", ""b"": ""Macrosalb (131i)"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""technetium tc 99m albumin aggregated"", ""name_b"": ""macrosalb 131i"", ""origin"": ""suspected-nominal:macrosalb"", ""unii_a"": ""Z8E46IA45W"", ""unii_b"": null}"
K1:ZD4D8M32TL,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:Y30VEG5PH1"", ""K1:ZD4D8M32TL""], ""origin"": ""suspected-nominal:donidalorsen""}"
K1:ZD4D8M32TL,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:Y30VEG5PH1"", ""K1:ZD4D8M32TL""], ""origin"": ""slug-collision:donidalorsen""}"
K1:ZRW631PTZD,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""TARTARIC ACID"", ""b"": ""FERROUS TARTRATE"", ""inchikey_child"": ""OHZCFWMJMWFNFP-ZVGUSBNCSA-L"", ""inchikey_parent"": ""FEWJPZIEWOKRBE-JCYAYHJZSA-N"", ""name_child"": ""ferrous"", ""name_parent"": ""tartaric acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:ZS7284E0ZP,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Anhydrous Citric Acid"", ""b"": ""Daunorubicin"", ""inchikey_child"": ""STQGQHZAVUOBTE-VGBVRHCVSA-N"", ""inchikey_parent"": ""KRKNYBCHXYNGOX-UHFFFAOYSA-N"", ""name_child"": ""daunorubicin"", ""name_parent"": ""anhydrous citric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K2:MTMGAHSPYQRCFL-RNLOPGSRSA-N,K3:CHEMBL1201664,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""Insulin Aspart Protamine Recombinant"", ""b"": ""INSULIN ASPART PROTAMINE RECOMBINANT"", ""inchikey_a"": ""MTMGAHSPYQRCFL-RNLOPGSRSA-N"", ""inchikey_b"": null, ""normalised"": ""insulin aspart protamine recombinant"", ""origin"": ""suspected-nominal:insulin aspart protamine recombinant"", ""unii_a"": null, ""unii_b"": null}"
K3:CHEMBL5314650,K4:technetium tc 99m labeled carbon,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"{""a"": ""TECHNETIUM TC-99M LABELED CARBON"", ""b"": ""Technetium Tc-99m Labeled Carbon"", ""class_a"": null, ""class_b"": null, ""normalised"": ""technetium tc 99m labeled carbon"", ""origin"": ""suspected-nominal:technetium tc 99m labeled carbon"", ""unii_a"": null, ""unii_b"": null}"
"COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X}","COMBO:{K1:8ID597Z82X,K1:E524N2IXA3}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal","{""components_a"": [""K1:1EQV5MLY3D"", ""K1:8ID597Z82X""], ""components_b"": [""K1:8ID597Z82X"", ""K1:E524N2IXA3""], ""origin"": ""gsrs:target_is_active_moiety""}"
"COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X}","COMBO:{K1:8ID597Z82X,K1:MU72812GK0}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal","{""components_a"": [""K1:1EQV5MLY3D"", ""K1:8ID597Z82X""], ""components_b"": [""K1:8ID597Z82X"", ""K1:MU72812GK0""], ""origin"": ""gsrs:target_is_salt""}"
"COMBO:{K1:8ID597Z82X,K1:E524N2IXA3}","COMBO:{K1:8ID597Z82X,K1:MU72812GK0}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal","{""components_a"": [""K1:8ID597Z82X"", ""K1:E524N2IXA3""], ""components_b"": [""K1:8ID597Z82X"", ""K1:MU72812GK0""], ""origin"": ""gsrs:target_is_salt""}"
HOLD:existing:pregnenolone,K1:73R90F7MQ8,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""Pregnenolone"", ""b"": ""PREGNENOLONE"", ""inchikey_a"": ""OZZAYJQNMKMUSD-DMISRAGPSA-N"", ""inchikey_b"": ""ORNBQBCIOKFOEO-QGVNFLHTSA-N"", ""origin"": ""suspected-nominal:pregnenolone"", ""unii"": ""73R90F7MQ8"", ""unii_source_a"": ""page-field"", ""unii_source_b"": ""page-key""}"
K1:015582E098,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:015582E098"", ""K1:F3H59ON671""], ""origin"": ""suspected-nominal:atesidorsen""}"
K1:02I89C6K47,K4:cynanchum otophyllum,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Cynanchum Otophyllum Whole"", ""b"": ""Cynanchum Otophyllum"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""cynanchum otophyllum whole"", ""name_b"": ""cynanchum otophyllum"", ""origin"": ""suspected-nominal:cynanchum otophyllum"", ""unii_a"": ""02I89C6K47"", ""unii_b"": null}"
K1:05780F90V3,K1:327C7L2BXQ,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""1-PHENETHYLAMINE, (-)-"", ""b"": ""Phenethylamine"", ""gsrs_relationship"": null, ""inchikey_a"": ""RQEUFEKYXDPUSK-ZETCQYMHSA-N"", ""inchikey_b"": ""BHHGXPLMPWCGHP-UHFFFAOYSA-N"", ""name_a"": ""1 phenethylamine"", ""name_b"": ""phenethylamine"", ""origin"": ""suspected-nominal:phenethylamine"", ""unii_a"": ""05780F90V3"", ""unii_b"": ""327C7L2BXQ""}"
K1:0867I0N41V,K1:185QAE24TR,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""TOCOTRIENOL"", ""b"": ""GAMMA-TOCOTRIENOL"", ""gsrs_relationship"": null, ""inchikey_a"": ""GJJVAFUKOBZPCB-ZGRPYONQSA-N"", ""inchikey_b"": ""OTXNTMVVOOBZCV-WAZJVIJMSA-N"", ""name_a"": ""tocotrienol"", ""name_b"": ""gamma tocotrienol"", ""origin"": ""suspected-nominal:tocotrienol"", ""unii_a"": ""0867I0N41V"", ""unii_b"": ""185QAE24TR""}"
K1:0CF4C9C787,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:D8IRN5V2N6"", ""K1:0CF4C9C787""], ""origin"": ""suspected-nominal:fesomersen""}"
K1:0JD5QG20W5,K1:5CSZ8459RP,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""5'-DEOXY-5-FLUORO-N4-(2-METHYL-1-BUTYLOXYCARBONYL)CYTIDINE"", ""b"": ""CYTIDINE"", ""gsrs_relationship"": null, ""inchikey_a"": ""WBAXSXXYPPILCT-DGHYOTGBSA-N"", ""inchikey_b"": ""UHDGCWIWMRVCDJ-XVFCMESISA-N"", ""name_a"": ""5 deoxy 5 fluoro n4 2 methyl 1 butyloxycarbonyl cytidine"", ""name_b"": ""cytidine"", ""origin"": ""suspected-nominal:cytidine"", ""unii_a"": ""0JD5QG20W5"", ""unii_b"": ""5CSZ8459RP""}"
K1:0P49L952WZ,K4:andrographis paniculata,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Andrographis Paniculata Whole"", ""b"": ""Andrographis Paniculata"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""andrographis paniculata whole"", ""name_b"": ""andrographis paniculata"", ""origin"": ""suspected-nominal:andrographis paniculata"", ""unii_a"": ""0P49L952WZ"", ""unii_b"": null}"
K1:0TUL3ENK62,K1:WB09NY83YA,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""2-BUTANOL"", ""b"": ""Butanol"", ""gsrs_relationship"": null, ""inchikey_a"": ""BTANRVKWQNVYAZ-UHFFFAOYSA-N"", ""inchikey_b"": ""LRHPLDYGYMQRHN-UHFFFAOYSA-N"", ""name_a"": ""2 butanol"", ""name_b"": ""butanol"", ""origin"": ""suspected-nominal:butanol"", ""unii_a"": ""0TUL3ENK62"", ""unii_b"": ""WB09NY83YA""}"
K1:185M5I2ZZN,K1:4A5OM7PI18,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"{""a"": ""TOLEVAMER SODIUM"", ""b"": ""TOLEVAMER POTASSIUM SODIUM"", ""class_a"": ""polymer"", ""class_b"": ""polymer"", ""normalised"": ""tolevamer"", ""origin"": ""suspected-nominal:tolevamer"", ""unii_a"": ""185M5I2ZZN"", ""unii_b"": ""4A5OM7PI18""}"
K1:1BT0256Y8O,K1:FML65D8PY5,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""BETA-NAPHTHOFLAVONE"", ""b"": ""Alpha-Naphthoflavone"", ""gsrs_relationship"": null, ""inchikey_a"": ""OUGIDAPQYNCXRA-UHFFFAOYSA-N"", ""inchikey_b"": ""VFMMPHCGEFXGIP-UHFFFAOYSA-N"", ""name_a"": ""beta naphthoflavone"", ""name_b"": ""alpha naphthoflavone"", ""origin"": ""suspected-nominal:naphthoflavone"", ""unii_a"": ""1BT0256Y8O"", ""unii_b"": ""FML65D8PY5""}"
K1:21M14KDA67,K1:L65MV77ZG6,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Alpha-Terpineol"", ""b"": ""4-TERPINEOL, (+/-)-"", ""gsrs_relationship"": null, ""inchikey_a"": ""WUOACPNHFRMFPN-VIFPVBQESA-N"", ""inchikey_b"": ""WRYLYDPHFGVWKC-UHFFFAOYSA-N"", ""name_a"": ""alpha terpineol"", ""name_b"": ""4 terpineol"", ""origin"": ""suspected-nominal:terpineol"", ""unii_a"": ""21M14KDA67"", ""unii_b"": ""L65MV77ZG6""}"
K1:256UZ34AF2,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:HX4CRZ94FC"", ""K1:256UZ34AF2""], ""origin"": ""suspected-nominal:imdusiran""}"
K1:2855UV552L,K1:NV1779205D,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""2-OCTANOL, (2S)-"", ""b"": ""Caprylic Alcohol"", ""gsrs_relationship"": null, ""inchikey_a"": ""SJWFXCIHNDVPSH-QMMMGPOBSA-N"", ""inchikey_b"": ""KBPLFHHGFOOTCA-UHFFFAOYSA-N"", ""name_a"": ""2 octanol 2s"", ""name_b"": ""caprylic alcohol"", ""origin"": ""suspected-nominal:octanol"", ""unii_a"": ""2855UV552L"", ""unii_b"": ""NV1779205D""}"
K1:2D5MRE3SSY,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:945CRJ0XZ0"", ""K1:2D5MRE3SSY""], ""origin"": ""suspected-nominal:timbetasin""}"
K1:2H47U2SBVO,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:2H47U2SBVO"", ""K1:PX4Q8LA7G6""], ""origin"": ""suspected-nominal:tivanisiran""}"
K1:2L9GJK6MGN,K1:Y77501141O,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""BIPHENYL"", ""b"": ""Bicyclohexyl"", ""gsrs_relationship"": null, ""inchikey_a"": ""ZUOUZKKEUPVFJK-UHFFFAOYSA-N"", ""inchikey_b"": ""WVIIMZNLDWSIRH-UHFFFAOYSA-N"", ""name_a"": ""biphenyl"", ""name_b"": ""bicyclohexyl"", ""origin"": ""suspected-nominal:biphenyl"", ""unii_a"": ""2L9GJK6MGN"", ""unii_b"": ""Y77501141O""}"
K1:309713XSKW,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Cipralisant"", ""b"": ""MALEIC ACID"", ""inchikey_child"": ""CVKJAXCQPFOAIN-VXGBXAGGSA-N"", ""inchikey_parent"": ""VZCYOOQTPOCHFL-UPHRSURJSA-N"", ""name_child"": ""cipralisant"", ""name_parent"": ""maleic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:31N550RD05,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:31N550RD05"", ""K1:S6A2UYH57V""], ""origin"": ""suspected-nominal:danvatirsen""}"
K1:328101264R,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:WWI522K8NY"", ""K1:328101264R""], ""origin"": ""suspected-nominal:cobitolimod""}"
K1:378RL020QM,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:378RL020QM"", ""K1:7EL4K2K27P""], ""origin"": ""suspected-nominal:afovirsen""}"
